district,spring_id,date,rainfall_mm,discharge_lpm,forest_cover_index
Pauri Garhwal,PauriGarhwal_S1,2005-01-01,28.8,57.39,0.62
Pauri Garhwal,PauriGarhwal_S1,2005-02-01,33.3,45.4,0.62
Pauri Garhwal,PauriGarhwal_S1,2005-03-01,50.6,44.83,0.62
Pauri Garhwal,PauriGarhwal_S1,2005-04-01,52.9,51.82,0.62
Pauri Garhwal,PauriGarhwal_S1,2005-05-01,84.3,49.62,0.62
Pauri Garhwal,PauriGarhwal_S1,2005-06-01,253.5,52.92,0.62
Pauri Garhwal,PauriGarhwal_S1,2005-07-01,336.4,61.04,0.62
Pauri Garhwal,PauriGarhwal_S1,2005-08-01,313.3,77.6,0.62
Pauri Garhwal,PauriGarhwal_S1,2005-09-01,190.0,73.49,0.62
Pauri Garhwal,PauriGarhwal_S1,2005-10-01,100.7,57.19,0.62
Pauri Garhwal,PauriGarhwal_S1,2005-11-01,50.0,51.13,0.62
Pauri Garhwal,PauriGarhwal_S1,2005-12-01,47.3,48.3,0.62
Pauri Garhwal,PauriGarhwal_S1,2006-01-01,36.4,47.41,0.62
Pauri Garhwal,PauriGarhwal_S1,2006-02-01,32.7,45.49,0.62
Pauri Garhwal,PauriGarhwal_S1,2006-03-01,54.2,45.46,0.62
Pauri Garhwal,PauriGarhwal_S1,2006-04-01,64.8,46.86,0.62
Pauri Garhwal,PauriGarhwal_S1,2006-05-01,112.6,48.61,0.62
Pauri Garhwal,PauriGarhwal_S1,2006-06-01,279.5,56.14,0.62
Pauri Garhwal,PauriGarhwal_S1,2006-07-01,380.1,58.16,0.62
Pauri Garhwal,PauriGarhwal_S1,2006-08-01,331.6,74.41,0.62
Pauri Garhwal,PauriGarhwal_S1,2006-09-01,250.3,71.48,0.62
Pauri Garhwal,PauriGarhwal_S1,2006-10-01,103.9,64.53,0.62
Pauri Garhwal,PauriGarhwal_S1,2006-11-01,50.8,49.8,0.62
Pauri Garhwal,PauriGarhwal_S1,2006-12-01,51.1,41.97,0.62
Pauri Garhwal,PauriGarhwal_S1,2007-01-01,33.3,46.66,0.62
Pauri Garhwal,PauriGarhwal_S1,2007-02-01,33.5,48.06,0.62
Pauri Garhwal,PauriGarhwal_S1,2007-03-01,50.3,40.73,0.62
Pauri Garhwal,PauriGarhwal_S1,2007-04-01,75.9,47.37,0.62
Pauri Garhwal,PauriGarhwal_S1,2007-05-01,94.0,46.66,0.62
Pauri Garhwal,PauriGarhwal_S1,2007-06-01,248.5,48.68,0.62
Pauri Garhwal,PauriGarhwal_S1,2007-07-01,333.2,58.46,0.62
Pauri Garhwal,PauriGarhwal_S1,2007-08-01,339.9,67.48,0.62
Pauri Garhwal,PauriGarhwal_S1,2007-09-01,229.6,73.47,0.62
Pauri Garhwal,PauriGarhwal_S1,2007-10-01,96.3,61.3,0.62
Pauri Garhwal,PauriGarhwal_S1,2007-11-01,45.3,52.46,0.62
Pauri Garhwal,PauriGarhwal_S1,2007-12-01,45.4,46.48,0.62
Pauri Garhwal,PauriGarhwal_S1,2008-01-01,34.9,44.73,0.62
Pauri Garhwal,PauriGarhwal_S1,2008-02-01,34.4,46.5,0.62
Pauri Garhwal,PauriGarhwal_S1,2008-03-01,46.8,43.53,0.62
Pauri Garhwal,PauriGarhwal_S1,2008-04-01,67.1,45.28,0.62
Pauri Garhwal,PauriGarhwal_S1,2008-05-01,99.7,44.34,0.62
Pauri Garhwal,PauriGarhwal_S1,2008-06-01,268.0,47.69,0.62
Pauri Garhwal,PauriGarhwal_S1,2008-07-01,387.5,58.93,0.62
Pauri Garhwal,PauriGarhwal_S1,2008-08-01,335.2,74.04,0.62
Pauri Garhwal,PauriGarhwal_S1,2008-09-01,225.7,62.22,0.62
Pauri Garhwal,PauriGarhwal_S1,2008-10-01,99.3,59.33,0.62
Pauri Garhwal,PauriGarhwal_S1,2008-11-01,50.5,46.33,0.62
Pauri Garhwal,PauriGarhwal_S1,2008-12-01,51.9,45.23,0.62
Pauri Garhwal,PauriGarhwal_S1,2009-01-01,22.8,44.31,0.62
Pauri Garhwal,PauriGarhwal_S1,2009-02-01,22.6,43.93,0.62
Pauri Garhwal,PauriGarhwal_S1,2009-03-01,33.4,41.58,0.62
Pauri Garhwal,PauriGarhwal_S1,2009-04-01,45.9,37.64,0.62
Pauri Garhwal,PauriGarhwal_S1,2009-05-01,78.7,41.57,0.62
Pauri Garhwal,PauriGarhwal_S1,2009-06-01,174.6,41.58,0.62
Pauri Garhwal,PauriGarhwal_S1,2009-07-01,277.8,50.2,0.62
Pauri Garhwal,PauriGarhwal_S1,2009-08-01,202.9,63.93,0.62
Pauri Garhwal,PauriGarhwal_S1,2009-09-01,148.3,55.13,0.62
Pauri Garhwal,PauriGarhwal_S1,2009-10-01,71.2,47.31,0.62
Pauri Garhwal,PauriGarhwal_S1,2009-11-01,36.8,40.74,0.62
Pauri Garhwal,PauriGarhwal_S1,2009-12-01,37.2,40.19,0.62
Pauri Garhwal,PauriGarhwal_S1,2010-01-01,32.6,37.59,0.62
Pauri Garhwal,PauriGarhwal_S1,2010-02-01,32.3,38.23,0.62
Pauri Garhwal,PauriGarhwal_S1,2010-03-01,53.8,40.03,0.62
Pauri Garhwal,PauriGarhwal_S1,2010-04-01,66.1,43.3,0.62
Pauri Garhwal,PauriGarhwal_S1,2010-05-01,90.4,43.01,0.62
Pauri Garhwal,PauriGarhwal_S1,2010-06-01,244.2,38.48,0.62
Pauri Garhwal,PauriGarhwal_S1,2010-07-01,342.1,55.77,0.62
Pauri Garhwal,PauriGarhwal_S1,2010-08-01,349.1,62.35,0.62
Pauri Garhwal,PauriGarhwal_S1,2010-09-01,220.7,63.75,0.62
Pauri Garhwal,PauriGarhwal_S1,2010-10-01,106.3,56.92,0.62
Pauri Garhwal,PauriGarhwal_S1,2010-11-01,48.6,39.44,0.62
Pauri Garhwal,PauriGarhwal_S1,2010-12-01,51.0,38.39,0.62
Pauri Garhwal,PauriGarhwal_S1,2011-01-01,32.0,40.78,0.62
Pauri Garhwal,PauriGarhwal_S1,2011-02-01,34.0,35.07,0.62
Pauri Garhwal,PauriGarhwal_S1,2011-03-01,46.6,40.93,0.62
Pauri Garhwal,PauriGarhwal_S1,2011-04-01,63.7,39.64,0.62
Pauri Garhwal,PauriGarhwal_S1,2011-05-01,95.4,41.75,0.62
Pauri Garhwal,PauriGarhwal_S1,2011-06-01,237.4,41.04,0.62
Pauri Garhwal,PauriGarhwal_S1,2011-07-01,375.0,54.58,0.62
Pauri Garhwal,PauriGarhwal_S1,2011-08-01,315.8,65.6,0.62
Pauri Garhwal,PauriGarhwal_S1,2011-09-01,213.5,58.47,0.62
